id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access
368,Bradshaw R.L.; Kawamoto K.; Kaphingst K.A.; Kohlmann W.K.; Hess R.; Flynn M.C.; Nanjo C.J.; Warner P.B.; Shi J.; Morgan K.; Kimball K.; Ranade-Kharkar P.; Ginsburg O.; Goodman M.; Chambers R.; Mann D.; Narus S.P.; Gonzalez J.; Loomis S.; Chan P.; Monahan R.; Borsato E.P.; Shields D.E.; Martin D.K.; Kessler C.M.; Del Fiol G.,GARDE: A standards-based clinical decision support platform for identifying population health management cohorts,2022,Journal of the American Medical Informatics Association,7.0,10.1093/jamia/ocac028,"Population health management (PHM) is an important approach to promote wellness and deliver health care to targeted individuals who meet criteria for preventive measures or treatment. A critical component for any PHM program is a data analytics platform that can target those eligible individuals. Objective: The aim of this study was to design and implement a scalable standards-based clinical decision support (CDS) approach to identify patient cohorts for PHM and maximize opportunities for multi-site dissemination. Materials and Methods: An architecture was established to support bidirectional data exchanges between heterogeneous electronic health record (EHR) data sources, PHM systems, and CDS components. HL7 Fast Healthcare Interoperability Resources and CDS Hooks were used to facilitate interoperability and dissemination. The approach was validated by deploying the platform at multiple sites to identify patients who meet the criteria for genetic evaluation of familial cancer. Results: The Genetic Cancer Risk Detector (GARDE) platform was created and is comprised of four components: (1) an open-source CDS Hooks server for computing patient eligibility for PHM cohorts, (2) an open-source Population Coordinator that processes GARDE requests and communicates results to a PHM system, (3) an EHR Patient Data Repository, and (4) EHR PHM Tools to manage patients and perform outreach functions. Site-specific deployments were performed on onsite virtual machines and cloud-based Amazon Web Services. Discussion: GARDE's component architecture establishes generalizable standards-based methods for computing PHM cohorts. Replicating deployments using one of the established deployment methods requires minimal local customization. Most of the deployment effort was related to obtaining site-specific information technology governance approvals. © 2022 The Author(s) 2022. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.",CDS Hooks; clinical decision support system (D020000); FHIR; Health Level Seven (D057208); population health management (D000076602),"Decision Support Systems, Clinical; Delivery of Health Care; Electronic Health Records; Humans; Information Storage and Retrieval; Population Health Management; Article; cancer risk; clinical decision support system; cloud computing; cohort analysis; electronic health record; Fast Healthcare Interoperability Resources; genetic cancer risk detector; hereditary tumor syndrome; human; patient coding; performance indicator; population health management; health care delivery; information retrieval",Oxford University Press,,,,Article,Final,All Open Access; Green Open Access
369,Oh C.Y.; Luo Y.; St. Jean B.; Choe E.K.,Patients Waiting for Cues: Information Asymmetries and Challenges in Sharing Patient-Generated Data in the Clinic,2022,Proceedings of the ACM on Human-Computer Interaction,7.0,10.1145/3512954,"Patient-generated data (PGD) show great promise for informing the delivery of personalized and patient-centered care. However, patients' data tracking does not automatically lead to data sharing and discussion with clinicians, which can make it difficult to utilize and derive optimal benefit from PGD. In this paper, we investigate whether and how patients share their PGD with clinicians and the types of challenges that arise within this context. We describe patients' immediate experiences of PGD sharing with clinicians, based on our short onsite interviews with 57 patients who had just met with a clinician at a university health center. Our analyses identified overarching patterns in patients' PGD sharing practices and the associated challenges that arise from the information asymmetry between patients and clinicians and from patients' reliance on their memory to share their PGD. We discuss the implications of our findings for designing PGD-integrated health IT systems in ways to support patients' tracking of relevant PGD, clinicians' effective engagement with patients around PGD, and the efficient sharing and review of PGD within clinical settings.  © 2022 ACM.",data tracking and sharing; doctor-patient communication; patient empowerment; patient-generated data; qualitative study,Data Sharing; Data-tracking; Doctor-patient communication; Health centers; Information asymmetry; Patient data; Patient empowerments; Patient-centered care; Patient-generated data; Qualitative study,Association for Computing Machinery,,,,Article,Final,
370,Austin R.R.; Mathiason M.A.; Lu S.-C.; Lindquist R.A.; McMahon S.K.; Pieczkiewicz D.S.; Monsen K.A.,Toward Clinical Adoption of Standardized mHealth Solutions: The Feasibility of Using MyStrengths+MyHealth Consumer-Generated Health Data for Knowledge Discovery,2022,CIN - Computers Informatics Nursing,7.0,10.1097/CIN.0000000000000862,[No abstract available],,Feasibility Studies; Humans; Knowledge Discovery; Telemedicine; feasibility study; human; knowledge discovery; telemedicine,Lippincott Williams and Wilkins,,,,Article,Final,
371,Varshney U.; Singh N.; Bourgeois A.G.; Dube S.R.,"Review, Assess, Classify, and Evaluate (RACE): a framework for studying m-health apps and its application for opioid apps",2022,Journal of the American Medical Informatics Association,7.0,10.1093/jamia/ocab277,"Objective: The proliferation of m-health interventions has led to a growing research area of app analysis. We derived RACE (Review, Assess, Classify, and Evaluate) framework through the integration of existing methodologies for the purpose of analyzing m-health apps, and applied it to study opioid apps. Materials and Methods: The 3-step RACE framework integrates established methods and evidence-based criteria used in a successive manner to identify and analyze m-health apps: the Preferred Reporting Items for Systematic Reviews and Meta-Analyses, inter-rater reliability analysis, and Nickerson-Varshney-Muntermann taxonomy. Results: Using RACE, 153 opioid apps were identified, assessed, and classified leading to dimensions of Target Audience, Key Function, Operation, Security & Privacy, and Impact, with Cohen's kappa < 1.0 suggesting subjectivity in app narrative assessments. The most common functions were education (24%), prescription (16%), reminder-monitoring-support (13%), and treatment & recovery (37%). A majority are passive apps (56%). The target audience are patients (49%), healthcare professionals (39%), and others (12%). Security & Privacy is evident in 84% apps. Discussion: Applying the 3-step RACE framework revealed patterns and gaps in opioid apps leading to systematization of knowledge. Lessons learned can be applied to the study of m-health apps for other health conditions. Conclusion: With over 350 000 existing and emerging m-health apps, RACE shows promise as a robust and replicable framework for analyzing m-health apps for specific health conditions. Future research can utilize the RACE framework toward understanding the dimensions and characteristics of existing m-health apps to inform best practices for collaborative, connected and continued care. © 2021 The Author(s).",evidence-based criteria; framework; m-health apps; opioids; structured taxonomy,"Analgesics, Opioid; Humans; Mobile Applications; Privacy; Reproducibility of Results; Telemedicine; opiate; narcotic analgesic agent; Article; conceptual framework; data privacy; drug dependence treatment; evidence based practice; health care personnel; human; information security; opiate addiction; patient education; patient monitoring; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; prescription; primary prevention; reminder system; secondary prevention; systematic review; tertiary prevention; mobile application; privacy; reproducibility; telemedicine",Oxford University Press,,,,Article,Final,All Open Access; Bronze Open Access; Green Open Access
372,Evans C.S.; Dorris H.D.; Kane M.T.; Mervak B.; Brice J.H.; Gray B.; Moore C.,A Natural Language Processing and Machine Learning Approach to Identification of Incidental Radiology Findings in Trauma Patients Discharged from the Emergency Department,2023,Annals of Emergency Medicine,7.0,10.1016/j.annemergmed.2022.08.450,"Study objective: Patients undergoing diagnostic imaging studies in the emergency department (ED) commonly have incidental findings, which may represent unrecognized serious medical conditions, including cancer. Recognition of incidental findings frequently relies on manual review of textual radiology reports and can be overlooked in a busy clinical environment. Our study aimed to develop and validate a supervised machine learning model using natural language processing to automate the recognition of incidental findings in radiology reports of patients discharged from the ED. Methods: We performed a retrospective analysis of computed tomography (CT) reports from trauma patients discharged home across an integrated health system in 2019. Two independent annotators manually labeled CT reports for the presence of an incidental finding as a reference standard. We used regular expressions to derive and validate a random forest model using open-source and machine learning software. Final model performance was assessed across different ED types. Results: The study CT reports were divided into derivation (690 reports) and validation (282 reports) sets, with a prevalence of incidental findings of 22.3%, and 22.7%, respectively. The random forest model had an area under the curve of 0.88 (95% confidence interval [CI], 0.84 to 0.92) on the derivation set and 0.92 (95% CI, 0.88 to 0.96) on the validation set. The final model was found to have a sensitivity of 92.2%, a specificity of 79.4%, and a negative predictive value of 97.2%. Similarly, strong model performance was found when stratified to a dedicated trauma center, high-volume, and low-volume community EDs. Conclusion: Machine learning and natural language processing can classify incidental findings in CT reports of ED patients with high sensitivity and high negative predictive value across a broad range of ED settings. These findings suggest the utility of natural language processing in automating the review of free-text reports to identify incidental findings and may facilitate interventions to improve timely follow-up. © 2022 American College of Emergency Physicians",,"Emergency Service, Hospital; Humans; Incidental Findings; Machine Learning; Natural Language Processing; Patient Discharge; Radiology; Retrospective Studies; adult; area under the curve; Article; Caucasian; computer assisted tomography; controlled study; diagnostic imaging; diagnostic test accuracy study; emergency health service; emergency physician; emergency ward; female; follow up; health care; high volume hospital; hospital discharge; human; incidental finding; injury; interrater reliability; kidney; liver; low volume hospital; lung; machine learning; male; mediastinum; medical informatics; natural language processing; predictive value; prevalence; random forest; retrospective study; sensitivity and specificity; standard; supervised machine learning; support vector machine; uterus; hospital discharge; hospital emergency service; incidental finding; machine learning; radiology",Elsevier Inc.,,,,Article,Final,
373,Zini E.M.; Lanzola G.; Bossi P.; Quaglini S.,An environment for guideline-based decision support systems for outpatients monitoring,2017,Methods of Information in Medicine,8.0,10.3414/ME16-01-0142,"Objectives: We propose an architecture for monitoring outpatients that relies on mobile technologies for acquiring data. The goal is to better control the onset of possible side effects between the scheduled visits at the clinic. Methods: We analyze the architectural components required to ensure a high level of abstraction from data. Clinical practice guidelines were formalized with Alium, an authoring tool based on the PROforma language, using SNOMED-CT as a terminology standard. The Alium engine is accessible through a set of APIs that may be leveraged for implementing an application based on standard web technologies to be used by doctors at the clinic. Data sent by patients using mobile devices need to be complemented with those already available in the Electronic Health Record to generate personalized recommendations. Thus a middleware pursuing data abstraction is required. To comply with current standards, we adopted the HL7 Virtual Medical Record for Clinical Decision Support Logical Model, Release 2. Results: The developed architecture for monitoring outpatients includes: (1) a guideline-based Decision Support System accessible through a web application that helps the doctors with prevention, diagnosis and treatment of therapy side effects; (2) an application for mobile devices, which allows patients to regularly send data to the clinic. In order to tailor the monitoring procedures to the specific patient, the Decision Support System also helps physicians with the configuration of the mobile application, suggesting the data to be collected and the associated collection frequency that may change over time, according to the individual patient’s conditions. A proof of concept has been developed with a system for monitoring the side effects of chemo-radiotherapy in head and neck cancer patients. Conclusions: Our environment introduces two main innovation elements with respect to similar works available in the literature. First, in order to meet the specific patients’ needs, in our work the Decision Support System also helps the physicians in properly configuring the mobile application. Then the Decision Support System is also continuously fed by patient-reported outcomes. © Schattauer 2017.",Clinical; Decision support systems; Head and neck neoplasms; Mobile health; Patient monitoring; Patient reported outcome measures,"Decision Support Systems, Clinical; Female; Humans; Male; Monitoring, Physiologic; Outpatients; Practice Guidelines as Topic; Smoking; User-Computer Interface; clinical decision support system; computer interface; female; human; male; outpatient; physiologic monitoring; practice guideline; smoking",Schattauer GmbH,,,,Article,Final,
374,Andersen M.V.; Kristensen I.H.; Larsen M.M.; Pedersen C.H.; Gøeg K.R.; Pape-Haugaard L.B.,Feasibility of Representing a Danish Microbiology Model Using FHIR,2017,Studies in Health Technology and Informatics,8.0,10.3233/978-1-61499-753-5-13,"Achieving interoperability in health is a challenge and requires standardization. The newly developed HL7 standard: Fast Healthcare Interoperability Resources (FHIR) promises both flexibility and interoperability. This study investigates the feasibility of expressing a Danish microbiology message model content in FHIR to explore whether complex in-use legacy models can be migrated and what challenges this may pose. The Danish microbiology message model (the DMM) is used as a case to illustrate challenges and opportunities accosted with applying the FHIR standard. Mapping of content from DMM to FHIR was done as close as possible to the DMM to minimize migration costs except when the structure of the content did not fit into FHIR. From the DMM a total of 183 elements were mapped to FHIR. 75 (40.9%) elements were modeled as existing FHIR elements and 96 (52.5%) elements were modeled as extensions and 12 (6.6%) elements were deemed unnecessary because of build-in FHIR characteristics. In this study, it was possible to represent the content of a Danish message model using HL7 FHIR. © 2017 European Federation for Medical Informatics (EFMI) and IOS Press.",eHealth; FHIR; Health Level Seven; Medical Informatics; Standards,Denmark; Electronic Health Records; Health Information Interoperability; Humans; Microbiology; feasibility study; health level 7; medical informatics; microbiology; model; telehealth; transcription regulation; data interoperability; Denmark; electronic health record; human,IOS Press,,,,Article,Final,
375,Wagholikar K.B.; Dessai P.; Sanz J.; Mendis M.E.; Bell D.S.; Murphy S.N.,Implementation of informatics for integrating biology and the bedside (i2b2) platform as Docker containers Philip Payne,2018,BMC Medical Informatics and Decision Making,8.0,10.1186/s12911-018-0646-2,"Background: Informatics for Integrating Biology and the Bedside (i2b2) is an open source clinical data analytics platform used at over 200 healthcare institutions for querying patient data. The i2b2 platform has several components with numerous dependencies and configuration parameters, which renders the task of installing or upgrading i2b2 a challenging one. Even with the availability of extensive documentation and tutorials, new users often require several weeks to correctly install a functional i2b2 platform. The goal of this work is to simplify the installation and upgrade process for i2b2. Specifically, we have containerized the core components of the platform, and evaluated the containers for ease of installation. Results: We developed three Docker container images: WildFly, database, and web, to encapsulate the three major deployment components of i2b2. These containers isolate the core functionalities of the i2b2 platform, and work in unison to provide its functionalities. Our evaluations indicate that i2b2 containers function successfully on the Linux platform. Our results demonstrate that the containerized components work out-of-the-box, with minimal configuration. Conclusions: Containerization offers the potential to package the i2b2 platform components into standalone executable packages that are agnostic to the underlying host operating system. By releasing i2b2 as a Docker container, we anticipate that users will be able to create a working i2b2 hive installation without the need to download, compile, and configure individual components that constitute the i2b2 cells, thus making this platform accessible to a greater number of institutions. © 2018 The Author(s).",Biomedical research; Computerized; Containerization; Docker; Docker; High performance computing; I2B2; Information storage and retrieval; Medical records systems; Software; Systems integration; User-computer Interface,Biomedical Research; Humans; Medical Informatics Applications; Medical Informatics Computing; Point-of-Care Systems; human; medical informatics; medical research; point of care system,BioMed Central Ltd,,,,Article,Final,All Open Access; Gold Open Access; Green Open Access
376,Wu R.R.; Myers R.A.; Buchanan A.H.; Dimmock D.; Fulda K.G.; Haller I.V.; Haga S.B.; Harry M.L.; McCarty C.; Neuner J.; Rakhra-Burris T.; Sperber N.; Voils C.I.; Ginsburg G.S.; Orlando L.A.,Effect of Sociodemographic Factors on Uptake of a Patient-Facing Information Technology Family Health History Risk Assessment Platform,2019,Applied Clinical Informatics,8.0,10.1055/s-0039-1679926,"Objective Investigate sociodemographic differences in the use of a patient-facing family health history (FHH)-based risk assessment platform. Methods In this large multisite trial with a diverse patient population, we evaluated the relationship between sociodemographic factors and FHH health risk assessment uptake using an information technology (IT) platform. The entire study was administered online, including consent, baseline survey, and risk assessment completion. We used multivariate logistic regression to model effect of sociodemographic factors on study progression. Quality of FHH data entered as defined as relatives: (1) with age of onset reported on relevant conditions; (2) if deceased, with cause of death and (3) age of death reported; and (4) percentage of relatives with medical history marked as unknown was analyzed using grouped logistic fixed effect regression. Results A total of 2,514 participants consented with a mean age of 57 and 10.4% minority. Multivariate modeling showed that progression through study stages was more likely for younger (p -value = 0.005), more educated (p -value = 0.004), non-Asian (p -value = 0.009), and female (p -value = 0.005) participants. Those with lower health literacy or information-seeking confidence were also less likely to complete the study. Most significant drop-out occurred during the risk assessment completion phase. Overall, quality of FHH data entered was high with condition's age of onset reported 87.85%, relative's cause of death 85.55% and age of death 93.76%, and relative's medical history marked as unknown 19.75% of the time. Conclusion A demographically diverse population was able to complete an IT-based risk assessment but there were differences in attrition by sociodemographic factors. More attention should be given to ensure end-user functionality of health IT and leverage electronic medical records to lessen patient burden. © 2019 Georg Thieme Verlag KG Stuttgart. New York.",family health; health care disparities; health risk assessment; patient engagement,Age of Onset; Cause of Death; Demography; Female; Humans; Information Technology; Male; Medical History Taking; Middle Aged; Risk Assessment; anamnesis; cause of death; demography; female; human; information technology; male; middle aged; onset age; risk assessment,Georg Thieme Verlag,,,,Article,Final,All Open Access; Bronze Open Access
377,Soh J.Y.; Jung S.-H.; Cha W.C.; Kang M.; Chang D.K.; Jung J.; Lee J.; Choi J.S.; Kim K.,Variability in doctors’ usage paths of mobile electronic health records across specialties: Comprehensive analysis of log data,2019,JMIR mHealth and uHealth,8.0,10.2196/12041,"Background: With the emergence of mobile devices, mobile electronic health record (mEHR) systems have been utilized by health care professionals (HCPs), including doctors, nurses, and other practitioners, to improve efficiency at the point of care. Although several studies on mEHR systems were conducted, including those analyzing their effects and HCPs’ usage frequency, only a few considered the specific workflows of doctors based on their specialties in which the work process differs greatly. Objective: This study aimed to investigate the differences in mEHR usage paths across clinical specialties. Methods: We collected the log data of 974 doctors who worked from August 2016 to August 2017 and used the mEHR system at the Samsung Medical Center, one of the biggest hospitals in South Korea. The doctors were classified into 3 groups based on their specialty: the physician, the surgeon, and other hospital-based physician (OHBP) groups. We used various descriptive and visualization methods to understand and compare doctors’ usage paths of mEHRs. First, the average numbers of log-ins per day and features used per log-in were examined over different specialties and positions. Second, the number of features used by each doctor was visualized via a heat map to provide an overview of mEHR usage across feature types and doctors’ specialties. Third, we conducted a path analysis via a Sankey diagram to describe main usage paths and association rule mining to find frequent paths in mEHR usage. Results: The physician group logged on most frequently, whereas the OHBP group logged on least frequently. In fact, the number of log-ins per day of residents in the physician group was 4.4 times higher than that of staff members in the other groups. The heat map visualization showed a visible difference among specialty groups. The physician group used more consultation-related features, whereas the surgeon group used more surgery-related features. Generally, 50% of the doctors spent about 15 seconds at a time when using mEHRs. In the Sankey diagram, the physician group showed diverse usage patterns with higher complexity compared with the other 2 groups; in particular, their paths contained more loops, which reflected repetitive checks on multiple patients. The most frequent path included inpatient summary, which means that most users stopped at the point of summary and did not proceed to view more details. Conclusions: The usage paths of mEHRs showed considerable differences among the specialty groups. Such differences can be accommodated into an mEHR design to enhance the efficiency of care. ©Ji Yeong Soh, Sang-Hyuk Jung, Won Chul Cha, Mira Kang, Dong Kyung Chang, Jaegon Jung, JeanHyoung Lee, Jong Soo Choi, Kyunga Kim.",Electronic health record; Mobile apps; Mobile electronic health record; Mobile health,,JMIR Publications Inc.,,,,Article,Final,All Open Access; Gold Open Access
378,Odisho A.Y.; Lui H.; Yerramsetty R.; Bautista F.; Gleason N.; Martin E.; Young J.J.; Blum M.; Neinstein A.B.,"Design and development of referrals automation, a SMART on FHIR solution to improve patient access to specialty care",2020,JAMIA Open,8.0,10.1093/jamiaopen/ooaa036,"Background: Referring patients to specialty care is an inefficient and error-prone process. Gaps in the referral process lead to delays in patients’ access to care, negative patient experience, worse health outcomes, and increased operational costs. While implementation of standards-based electronic referral options can alleviate some of these inefficiencies, many referrals to tertiary and quaternary care centers continue to be sent via fax. Objective: We describe the design process and architecture for a software application that has been developed and deployed to optimize the referrals intake process by automating the processing and digitization of incoming specialty referral faxes, extracting key data elements and integrating them into the electronic health record (EHR), and organizing referrals. Methods: A human-centered design approach was used to identify and describe the inefficiencies in the external referral process at our large, urban tertiary care center. Referrals Automation, an application to convert referral faxes to digital referrals in the EHR, was conceptualized based on key stakeholder interviews and time and motion studies. This application was designed using Substitutable Medical Applications and Reusable Technologies (SMART) and Fast Healthcare Interoperability Resource (FHIR) platforms to allow for adaptability into other healthcare organizations. Results: Referrals Automation software was developed as a healthcare information technology solution to streamline the fax to referral process. The application was implemented into several specialty clinics. Metrics were built-in to the applications to evaluate and guide the further iteration of these features. Conclusions: Referrals Automation will enhance the referrals process by further streamlining and organizing the patient referral process. © The Author(s) 2020.",Access to care; Application programming interface; HL7 FHIR; Referral; User-centered design,adult; article; automation; electronic health record; Fast Healthcare Interoperability Resources; health care organization; human; information technology; interview; software; task performance; tertiary care center; universal design,Oxford University Press,,,,Article,Final,All Open Access; Gold Open Access
379,Satterfield K.; Rubin J.C.; Yang D.; Friedman C.P.,Understanding the roles of three academic communities in a prospective learning health ecosystem for diagnostic excellence,2020,Learning Health Systems,8.0,10.1002/lrh2.10204,"Inaccurate, untimely, and miscommunicated medical diagnoses represent a wicked problem requiring comprehensive and coordinated approaches, such as those demonstrated in the characteristics of learning health systems (LHSs). To appreciate a vision for how LHS methods can optimize processes and outcomes in medical diagnosis (diagnostic excellence), we interviewed 32 individuals with relevant expertise: 18 who have studied diagnostic processes using traditional behavioral science and health services research methods, six focused on machine learning (ML) and artificial intelligence (AI) approaches, and eight multidisciplinary researchers experienced in advocating for and incorporating LHS methods, ie, scalable continuous learning in health care. We report on barriers and facilitators, identified by these subjects, to applying their methods toward optimizing medical diagnosis. We then employ their insights to envision the emergence of a learning ecosystem that leverages the tools of each of the three research groups to advance diagnostic excellence. We found that these communities represent a natural fit forward, in which together, they can better measure diagnostic processes and close the loop of putting insights into practice. Members of the three academic communities will need to network and bring in additional stakeholders before they can design and implement the necessary infrastructure that would support ongoing learning of diagnostic processes at an economy of scale and scope. © 2019 The Authors. Learning Health Systems published by Wiley Periodicals, Inc. on behalf of the University of Michigan",diagnostic error; learning community; learning health systems; machine learning; medical diagnosis; multidisciplinary,,John Wiley and Sons Inc,,,,Article,Final,All Open Access; Gold Open Access
380,Kanungo S.; Barr J.; Crutchfield P.; Fealko C.; Soares N.,Ethical Considerations on Pediatric Genetic Testing Results in Electronic Health Records,2020,Applied Clinical Informatics,8.0,10.1055/s-0040-1718753,"Background â Advances in technology and access to expanded genetic testing have resulted in more children and adolescents receiving genetic testing for diagnostic and prognostic purposes. With increased adoption of the electronic health record (EHR), genetic testing is increasingly resulted in the EHR. However, this leads to challenges in both storage and disclosure of genetic results, particularly when parental results are combined with child genetic results. Privacy and Ethical Considerations â Accidental disclosure and erroneous documentation of genetic results can occur due to the nature of their presentation in the EHR and documentation processes by clinicians. Genetic information is both sensitive and identifying, and requires a considered approach to both timing and extent of disclosure to families and access to clinicians. Methods â This article uses an interdisciplinary approach to explore ethical issues surrounding privacy, confidentiality of genetic data, and access to genetic results by health care providers and family members, and provides suggestions in a stakeholder format for best practices on this topic for clinicians and informaticians. Suggestions are made for clinicians on documenting and accessing genetic information in the EHR, and on collaborating with genetics specialists and disclosure of genetic results to families. Additional considerations for families including ethics around results of adolescents and special scenarios for blended families and foster minors are also provided. Finally, administrators and informaticians are provided best practices on both institutional processes and EHR architecture, including security and access control, with emphasis on the minimum necessary paradigm and parent/patient engagement and control of the use and disclosure of data. Conclusion â The authors hope that these best practices energize specialty societies to craft practice guidelines on genetic information management in the EHR with interdisciplinary input that addresses all stakeholder needs. © 2020 American Institute of Physics Inc.. All rights reserved.",children; confidentiality; electronic health record; ethics; genetic testing; privacy,Adolescent; Child; Confidentiality; Disclosure; Electronic Health Records; Genetic Testing; Humans; Privacy; adolescent; child; confidentiality; electronic health record; genetic screening; human; interpersonal communication; privacy,Georg Thieme Verlag,,,,Article,Final,All Open Access; Bronze Open Access; Green Open Access
381,Spengler H.; Lang C.; Mahapatra T.; Gatz I.; Kuhn K.A.; Prasser F.,Enabling agile clinical and translational data warehousing: Platform development and evaluation,2020,JMIR Medical Informatics,8.0,10.2196/15918,"Background: Modern data-driven medical research provides new insights into the development and course of diseases and enables novel methods of clinical decision support. Clinical and translational data warehouses, such as Informatics for Integrating Biology and the Bedside (i2b2) and tranSMART, are important infrastructure components that provide users with unified access to the large heterogeneous data sets needed to realize this and support use cases such as cohort selection, hypothesis generation, and ad hoc data analysis. Objective: Often, different warehousing platforms are needed to support different use cases and different types of data. Moreover, to achieve an optimal data representation within the target systems, specific domain knowledge is needed when designing data-loading processes. Consequently, informaticians need to work closely with clinicians and researchers in short iterations. This is a challenging task as installing and maintaining warehousing platforms can be complex and time consuming. Furthermore, data loading typically requires significant effort in terms of data preprocessing, cleansing, and restructuring. The platform described in this study aims to address these challenges. Methods: We formulated system requirements to achieve agility in terms of platform management and data loading. The derived system architecture includes a cloud infrastructure with unified management interfaces for multiple warehouse platforms and a data-loading pipeline with a declarative configuration paradigm and meta-loading approach. The latter compiles data and configuration files into forms required by existing loading tools, thereby automating a wide range of data restructuring and cleansing tasks. We demonstrated the fulfillment of the requirements and the originality of our approach by an experimental evaluation and a comparison with previous work. Results: The platform supports both i2b2 and tranSMART with built-in security. Our experiments showed that the loading pipeline accepts input data that cannot be loaded with existing tools without preprocessing. Moreover, it lowered efforts significantly, reducing the size of configuration files required by factors of up to 22 for tranSMART and 1135 for i2b2. The time required to perform the compilation process was roughly equivalent to the time required for actual data loading. Comparison with other tools showed that our solution was the only tool fulfilling all requirements. Conclusions: Our platform significantly reduces the efforts required for managing clinical and translational warehouses and for loading data in various formats and structures, such as complex entity-attribute-value structures often found in laboratory data. Moreover, it facilitates the iterative refinement of data representations in the target platforms, as the required configuration files are very compact. The quantitative measurements presented are consistent with our experiences of significantly reduced efforts for building warehousing platforms in close cooperation with medical researchers. Both the cloud-based hosting infrastructure and the data-loading pipeline are available to the community as open source software with comprehensive documentation. © 2020 Helmut Spengler, Claudia Lang, Tanmaya Mahapatra, Ingrid Gatz, Klaus A Kuhn, Fabian Prasser.",Cohort selection; Data warehouse; Docker; Extract-transform-load; Hosting; Hypothesis generation; I2b2; Translational research; TranSMART,,JMIR Publications Inc.,,,,Article,Final,All Open Access; Gold Open Access; Green Open Access
382,Hussain M.I.; Nelson A.M.; Yeung B.G.; Sukumar L.; Zheng K.,How the presentation of patient information and decision-support advisories influences opioid prescribing behavior: A simulation study,2020,Journal of the American Medical Informatics Association,8.0,10.1093/jamia/ocz213,"Objective: The United States faces an opioid crisis. Integrating prescription drug monitoring programs into electronic health records offers promise to improve opioid prescribing practices. This study aimed to evaluate 2 different user interface designs for prescription drug monitoring program and electronic health record integration. Materials and Methods: Twenty-four resident physicians participated in a randomized controlled experiment using 4 simulated patient cases. In the conventional condition, prescription opioid histories were presented in tabular format, and computerized clinical decision support (CDS) was provided via interruptive modal dialogs (ie, pop-ups). The alternative condition featured a graphical opioid history, a cue to visit that history, and noninterruptive CDS. Two attending pain specialists judged prescription appropriateness. Results: Participants in the alternative condition wrote more appropriate prescriptions. When asked after the experiment, most participants stated that they preferred the alternative design to the conventional design. Conclusions: How patient information and CDS are presented appears to have a significant influence on opioid prescribing behavior.  © 2019 Published by Oxford University Press on behalf of the American Medical Informatics Association 2019",Clinical; Decision support systems; Medical order entry systems; Pain management; Prescription drug monitoring programs; User-computer interface,"Analgesics, Opioid; Decision Support Systems, Clinical; Drug Prescriptions; Electronic Health Records; Humans; Internship and Residency; Medical Order Entry Systems; Pain Management; Practice Patterns, Physicians'; Prescription Drug Monitoring Programs; Systems Integration; United States; User-Computer Interface; opiate; narcotic analgesic agent; adult; Article; clinical decision support system; controlled study; electronic health record; experimental design; female; foraging; human; human experiment; male; medical specialist; patient information; patient simulation; physician; prescription; prescription drug monitoring program; randomized controlled trial; resident; analgesia; clinical practice; computer interface; medical education; physician order entry system; system analysis; United States",Oxford University Press,,,,Article,Final,All Open Access; Green Open Access
383,Gazzarata R.; Monteverde M.E.; Ruggiero C.; Maggi N.; Palmieri D.; Parruti G.; Giacomini M.,Healthcare associated infections: An interoperable infrastructure for multidrug resistant organism surveillance,2020,International Journal of Environmental Research and Public Health,8.0,10.3390/ijerph17020465,"Prevention and surveillance of healthcare associated infections caused by multidrug resistant organisms (MDROs) has been given increasing attention in recent years and is nowadays a major priority for health care systems. The creation of automated regional, national and international surveillance networks plays a key role in this respect. A surveillance system has been designed for the Abruzzo region in Italy, focusing on the monitoring of the MDROs prevalence in patients, on the appropriateness of antibiotic prescription in hospitalized patients and on foreseeable interactions with other networks at national and international level. The system has been designed according to the Service Oriented Architecture (SOA) principles, and Healthcare Service Specification (HSSP) standards and Clinical Document Architecture Release 2 (CDAR2) have been adopted. A description is given with special reference to implementation state, specific design and implementation choices and next foreseeable steps. The first release will be delivered at the Complex Operating Unit of Infectious Diseases of the Local Health Authority of Pescara (Italy). © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Data extraction; Interoperability; MDROs; Semantic harmonization; Surveillance systems; Syntactic harmonization,"Anti-Bacterial Agents; Cross Infection; Drug Resistance, Multiple, Bacterial; Gram-Negative Bacteria; Humans; Italy; Abruzzi; Italy; antibiotic agent; antiinfective agent; antibiotic resistance; data set; disease prevalence; health care; health services; infectious disease; public health; antibiotic therapy; Article; clinical effectiveness; disease surveillance; healthcare associated infection; human; identity; information processing; Italy; multidrug resistance; patient monitoring; prescription; cross infection; drug effect; Gram negative bacterium; isolation and purification; microbiology",MDPI,,,,Article,Final,All Open Access; Gold Open Access
