Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Texts,Correspondence Address,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Gambhir S.S.; Ge T.J.; Vermesh O.; Spitler R.,"Gambhir, Sanjiv Sam (7101904349); Ge, T. Jessie (57197853901); Vermesh, Ophir (36638689200); Spitler, Ryan (36018572300)",7101904349; 57197853901; 36638689200; 36018572300,Toward achieving precision health,2018,Science Translational Medicine,10,430,eaao3612,,,,137.0,10.1126/scitranslmed.aao3612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042869038&doi=10.1126%2fscitranslmed.aao3612&partnerID=40&md5=ace5f3d0ab1059e70b57fb6ed0ec406d,"Health care systems primarily focus on patients after they present with disease, not before. The emerging field of precision health encourages disease prevention and earlier detection by monitoring health and disease based on an individual's risk. Active participation in health care can be encouraged with continuous health-monitoring devices, providing a higher-resolution picture of human health and disease. However, the development of monitoring technologies must prioritize the collection of actionable data and long-term user engagement. Copyright © 2018 The Authors, some rights reserved.",,Delivery of Health Care; Humans; Precision Medicine; clinical decision support system; disease surveillance; early diagnosis; electrocardiography; genome-wide association study; genotype environment interaction; health care system; human; information processing; lifestyle modification; personalized medicine; preventive medicine; priority journal; Review; risk assessment; health care delivery; personalized medicine; procedures,,"S.S. Gambhir; Department of Radiology, Molecular Imaging Program at Stanford, Stanford University, School of Medicine, Stanford, 94305, United States; email: sgambhir@stanford.edu",American Association for the Advancement of Science,,,,,,19466234,,,29491186.0,English,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85042869038
Kukhareva P.; Warner P.; Rodriguez S.; Kramer H.; Weir C.; Nanjo C.; Shields D.; Kawamoto K.,"Kukhareva, Polina (56741208300); Warner, Phillip (55805086900); Rodriguez, Salvador (56649371200); Kramer, Heidi (36025563300); Weir, Charlene (8559684500); Nanjo, Claude (21734740200); Shields, David (55805893700); Kawamoto, Kensaku (8370215600)",56741208300; 55805086900; 56649371200; 36025563300; 8559684500; 21734740200; 55805893700; 8370215600,Balancing Functionality versus Portability for SMART on FHIR Applications: Case Study for a Neonatal Bilirubin Management Application,2019,AMIA ... Annual Symposium proceedings. AMIA Symposium,2019,,,562,571,9.0,9.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083755631&partnerID=40&md5=76c3bdae6db8dcdb1eaeeae9e0517cb0,"SMART on FHIR applications are standards-based tools integrated with electronic health record (EHR) systems and intended for dissemination across EHR platforms. A key challenge for disseminating many apps is that EHR vendors provide different levels of support for FHIR. Thus, app developers must balance functionality versus portability. In this case study, a feature-rich app for neonatal bilirubin management was developed prioritizing physician-requested functionality, with custom FHIR interfaces implemented within the EHR as needed. Following wide intra-institutional use, several approaches are being pursued for adapting the app for cross-institutional dissemination: user surveys and interviews to identify least-valued app features which could potentially be omitted; enabling the application to provide differential features depending on available EHR FHIR capabilities; replacing custom FHIR interfaces with native EHR FHIR interfaces as they became available; and using a canonical logical data model known as QUICK that can be mapped to different FHIR versions and profiles. ©2019 AMIA - All rights reserved.",,"Academic Medical Centers; Bilirubin; Electronic Health Records; Health Information Interoperability; Health Level Seven; Humans; Infant, Newborn; Medical Records Systems, Computerized; Organizational Case Studies; Software; Utah; bilirubin; blood; data interoperability; electronic health record; electronic medical record system; health level 7; health services research; human; newborn; software; university hospital; Utah",,,NLM (Medline),,,,,,1942597X,,,32308850.0,English,Article,Final,,Scopus,2-s2.0-85083755631
Misic V.B.; Misic J.; Chang X.,"Misic, Vojislav B. (7004084187); Misic, Jelena (7003564393); Chang, Xiaolin (9732605400)",7004084187; 7003564393; 9732605400,Towards a blockchain-based healthcare information system: Invited paper,2019,"2019 IEEE/CIC International Conference on Communications in China, ICCC 2019",,,8855911,13,18,5.0,6.0,10.1109/ICCChina.2019.8855911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074098951&doi=10.1109%2fICCChina.2019.8855911&partnerID=40&md5=8f291cbc111148984c7a58ba2fcc833e,"Healthcare information systems are the next big application area for Blockchain technology. However, straightforward extensions of existing digital cryptocurrency systems such as Bitcoin and Ethereum results in systems that are unsuitable for the challenges posed by healthcare systems. In this paper, we propose an architecture for a blockchain-based healthcare information system in which block validation is performed through collective signatures initiated by a designated leader and executed by a pool of witnesses. Furthermore, we describe a smart-contract based approach that allows data owners to explicitly grant or revoke authorizations for other actors to access healthcare data. All accesses, successful or not, are recorded on the blockchain as separate transactions, thus ensuring transparency and privacy protection. © 2019 IEEE.",,Health care; Information systems; Information use; Medical computing; Application area; Health care information system; Health-care system; Privacy protection; Blockchain,The work of V. B. M. and J. M. has been supported by National Sciences and Engineering Research Council of Canada (NSERC) through their respective Discovery Grants.,,Institute of Electrical and Electronics Engineers Inc.,,"2019 IEEE/CIC International Conference on Communications in China, ICCC 2019",11 August 2019 through 13 August 2019,Changchun,152380.0,,978-172810732-5,,,English,Conference paper,Final,,Scopus,2-s2.0-85074098951
Soh J.Y.; Jung S.-H.; Cha W.C.; Kang M.; Chang D.K.; Jung J.; Lee J.; Choi J.S.; Kim K.,"Soh, Ji Yeong (57202238692); Jung, Sang-Hyuk (57221354711); Cha, Won Chul (26030262900); Kang, Mira (12799242900); Chang, Dong Kyung (7403319864); Jung, Jaegon (57199984362); Lee, JeanHyoung (47461369100); Choi, Jong Soo (56152532200); Kim, Kyunga (12767292800)",57202238692; 57221354711; 26030262900; 12799242900; 7403319864; 57199984362; 47461369100; 56152532200; 12767292800,Variability in doctors’ usage paths of mobile electronic health records across specialties: Comprehensive analysis of log data,2019,JMIR mHealth and uHealth,7,1,e12041,,,,8.0,10.2196/12041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074114009&doi=10.2196%2f12041&partnerID=40&md5=77de4eef05297ba5ae077da5ed3e1b22,"Background: With the emergence of mobile devices, mobile electronic health record (mEHR) systems have been utilized by health care professionals (HCPs), including doctors, nurses, and other practitioners, to improve efficiency at the point of care. Although several studies on mEHR systems were conducted, including those analyzing their effects and HCPs’ usage frequency, only a few considered the specific workflows of doctors based on their specialties in which the work process differs greatly. Objective: This study aimed to investigate the differences in mEHR usage paths across clinical specialties. Methods: We collected the log data of 974 doctors who worked from August 2016 to August 2017 and used the mEHR system at the Samsung Medical Center, one of the biggest hospitals in South Korea. The doctors were classified into 3 groups based on their specialty: the physician, the surgeon, and other hospital-based physician (OHBP) groups. We used various descriptive and visualization methods to understand and compare doctors’ usage paths of mEHRs. First, the average numbers of log-ins per day and features used per log-in were examined over different specialties and positions. Second, the number of features used by each doctor was visualized via a heat map to provide an overview of mEHR usage across feature types and doctors’ specialties. Third, we conducted a path analysis via a Sankey diagram to describe main usage paths and association rule mining to find frequent paths in mEHR usage. Results: The physician group logged on most frequently, whereas the OHBP group logged on least frequently. In fact, the number of log-ins per day of residents in the physician group was 4.4 times higher than that of staff members in the other groups. The heat map visualization showed a visible difference among specialty groups. The physician group used more consultation-related features, whereas the surgeon group used more surgery-related features. Generally, 50% of the doctors spent about 15 seconds at a time when using mEHRs. In the Sankey diagram, the physician group showed diverse usage patterns with higher complexity compared with the other 2 groups; in particular, their paths contained more loops, which reflected repetitive checks on multiple patients. The most frequent path included inpatient summary, which means that most users stopped at the point of summary and did not proceed to view more details. Conclusions: The usage paths of mEHRs showed considerable differences among the specialty groups. Such differences can be accommodated into an mEHR design to enhance the efficiency of care. ©Ji Yeong Soh, Sang-Hyuk Jung, Won Chul Cha, Mira Kang, Dong Kyung Chang, Jaegon Jung, JeanHyoung Lee, Jong Soo Choi, Kyunga Kim.",Electronic health record; Mobile apps; Mobile electronic health record; Mobile health,,"This study was supported by the National Research Foundation of Korea (NRF). This research was supported by the Basic Science Research Program through the NRF, funded by the Ministry of Education (grant number 2018R1C1B6002877).","K. Kim; Statistics and Data Center, Research Institute for Future Medicine, Samsung Medical Center, Seoul, South Korea; email: kyunga.j.kim@samsung.com",JMIR Publications Inc.,,,,,,22915222,,,,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85074114009
Sen A.; Al Kawam A.; Datta A.,"Sen, Arun (8201466700); Al Kawam, Ahmad (56716540800); Datta, Aniruddha (7402110463)",8201466700; 56716540800; 7402110463,Emergence of DSS efforts in genomics: Past contributions and challenges,2019,Decision Support Systems,116,,,77,90,13.0,3.0,10.1016/j.dss.2018.10.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055990068&doi=10.1016%2fj.dss.2018.10.011&partnerID=40&md5=751208b9e7db92de681418764c4cdb14,"Large amounts of data in biomedical research (from clinical data to gene expression data) are being generated. Use of these data sets and their associated knowledge are essential to understand the biological mechanisms behind diseases. While patients' clinical data from EHR can help researchers accurately and appropriately trace the performance of various kinds of medicines on the patients, the microarray data for the same pool of patients can contain valuable information for discovery of disease-associated gene expression patterns and can help classify the patients. However, research in the area of integrating genomic data with clinical data is still in its infancy and is riddled with many challenges. Even though data and knowledge sets are easily available from genome sequences and protein structural data of organisms, they usually are of many different varieties. Integrating them for a better understanding of biological functions at all levels is complicated. If we want to obtain the full benefit of functional genomics, we need to find a seamless way to integrate large amounts of patient datasets with genomic datasets in the field of biomedicine. Few papers in the decision support systems (DSS) literature provide an overview of Genomic Clinical Decision Support (GCDS) challenges that span data, knowledge, input/output, and architecture/implementation. This paper presents a unique effort dedicated to providing a comprehensive listing and a concise description of the DSS methodological challenges that arise from integrating complex and massive-scale genomic data with Clinical Decision Support (CDS) systems. © 2018 Elsevier B.V.",Clinical decision support; Data integration; Decision support system; Decision support system architecture; Genomics; Knowledge base integration,Artificial intelligence; Classification (of information); Clinical research; Decision support systems; Gene expression; Knowledge based systems; Biological functions; Biological mechanisms; Clinical decision support; Decision support system (dss); Gene expression patterns; Genomics; Knowledge base; Large amounts of data; Data integration,"Funding text 1: The authors like to acknowledge the Interdisciplinary Seed Grants in Big Data program of the Texas A&M Engineering Experiment Station and the Dwight Look College of Engineering in partnership with Texas A&M University, Division of Research.; Funding text 2: The authors like to acknowledge the Interdisciplinary Seed Grants in Big Data program of the Texas A&M Engineering Experiment Station and the Dwight Look College of Engineering in partnership with Texas A&M University, Division of Research.  Arun Sen is a Full Professor in the Department of Information and Operations Management in Texas A&M University. He holds an M.Tech degree in Electronics (from Calcutta University, India in 1971), an M.S. in Computer Science (from Penn State University in 1976) and a Ph.D. in Information Systems (from Penn State University in 1979). He has published 58 research papers in journals like MIS Quarterly , Information Systems Research , Journal of MIS , Communications of the ACM (CACM), Decision Support Systems , IEEE Transactions on Systems, Man and Cybernetics , Journal of Biomedical Informatics, IEEE Transactions on Software Engineering, IEEE Transactions on Engineering Management, Decision Sciences, Information Systems , Computers and OR , Omega, European Journal of Operations Research, Information and Management , Omega and others. He has numerous articles in conferences and invited presentations. His research interests include areas like healthcare delivery (Medical home, Readmission and Care coordination), Clinical decision support systems, Genomic decision support systems, Economic Analysis of Health Information Exchange, Economic Analysis of Healthcare Information Technology, Software Reuse, Experts Systems including Case-based Reasoning, Data Warehousing (such as adoption and diffusion, metadata management, ETL change management and data warehousing process maturity), and E -Commerce (such as web analytics, website customer segmentation, web service economics and building recommendation engines at the web). He was an Associate Editor of Journal of Database Management. He was a special issue editor for Decision Support Systems, Communications of the ACM, Database and Expert Systems with Application. He served as a chair of INFORMS College on Information Systems, a program chair for the 1996 WITS (Workshop on Information Technology and Systems) Conference and a track chair (Decision Support Systems and AI track) for the 1996 National DSI Conference. From 2010 to 2015, Dr. Sen was also a Co-Principal Investigator in a grant ($7.2 Million) from the Office of National Coordinator in the U.S. Department of Health and Human Services to create a Regional Extension Center (Texas A&M REC) housed in the A&M Rural and Community Health Institute (ARCHI) in Texas A&M College of Medicine.  Ahmad Al Kawam received the Ph.D. degree in 2018 in Electrical Engineering at Texas A&M University, College Station, TX. He obtained his Bachelor's degree in Computer and Communication Engineering from Rafik Hariri University, Lebanon in 2011 and his Master's degree in Computer Engineering from the Lebanese American University, Beirut, Lebanon in 2014. His research uses computational and statistical methods to perform studies in genomics and healthcare informatics revolving around genomic biomarker discovery, and genomic clinical decision support.  Aniruddha Datta received the B. Tech degree in Electrical Engineering from the Indian Institute of Technology, Kharagpur in 1985, the M.S.E.E. degree from Southern Illinois University, Carbondale in 1987 and the M.S. (Applied Mathematics) and Ph.D. degrees from the University of Southern California in 1991. In August 1991, he joined the Department of Electrical and Computer Engineering at Texas A&M University where he is currently the J. W. Runyon, Jr. '35 Professor II and Director of the Center for Bioinformatics and Genomic Systems Engineering (CBGSE). His areas of interest include adaptive control, robust control, PID control and Genomic Signal Processing. He has authored or coauthored 5 books and over 200 journal and conference papers on these topics. He is a Fellow of IEEE, has served as an Associate Editor for the IEEE Transactions on Automatic Control (2001−2003), the IEEE Transactions on Systems, Man and Cybernetics-Part B (2005–2006), the IEEE Transactions on Biomedical Engineering (2013–2015), the EURASIP Journal on Bioinformatics and Systems Biology (2007–2016), the IEEE Journal of Biomedical and Health Informatics (2014–2016) and is currently serving as an Associate Editor for the IEEE/ACM Transactions on Computational Biology and Bioinformatics, and IEEE Access. ","A. Sen; Department of Information and Operations Management, Mays Business School, Texas A&M University, College Station, 77843, United States; email: asen@mays.tamu.edu",Elsevier B.V.,,,,,,01679236,,DSSYD,,English,Article,Final,,Scopus,2-s2.0-85055990068
Baihan M.S.; Sánchez Y.K.R.; Shao X.; Gilman C.; Demurjian S.A.; Agresta T.P.,"Baihan, Mohammed S. (56705584800); Sánchez, Yaira K. Rivera (59025153700); Shao, Xian (57193605806); Gilman, Christopher (57923320300); Demurjian, Steven A. (6603876241); Agresta, Thomas P. (12806542300)",56705584800; 59025153700; 57193605806; 57923320300; 6603876241; 12806542300,A blueprint for designing and developing M-health applications for diverse stakeholders utilizing FHIR,2018,Contemporary Applications of Mobile Computing in Healthcare Settings,,,,85,124,39.0,3.0,10.4018/978-1-5225-5036-5.ch006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064448333&doi=10.4018%2f978-1-5225-5036-5.ch006&partnerID=40&md5=0b284aa26bc4b1b07ff628c6f58f8cab,"FHIR standard is designed to enable interoperability and integration with the newest and adopted technologies by the industry. This chapter presents a number of blueprints for the design and development of FHIR servers that enable the integration between HIT systems with m-health applications via FHIR. Each blueprint is based on the location that FHIR servers can be placed with respect to the components of the m-health application (UI, API, server) or a HIT system in order to define and design the necessary infrastructure to facilitate the exchange ofinformation via FHIR. To demonstrate the feasibility of the work, this chapter utilizes the Connecticut concussion tracker (CT2) m-health application as a proof-of-concept prototype that fully illustrates the blueprints of the design and development steps that are involved. The blueprints can be applied to any m-health application and are informative and instructional for medical stakeholders, researchers, and developers. © 2018 by IGI Global. All rights reserved.",,,,,IGI Global,,,,,,,978-152255037-2; 978-152255036-5,,,English,Book chapter,Final,,Scopus,2-s2.0-85064448333
Toch E.; Linenberg D.; Rager N.; Sellman D.; Florentin T.; Shomron N.,"Toch, Eran (56619275000); Linenberg, Dan (57201501273); Rager, Netta (57201499029); Sellman, Daya (57201502228); Florentin, Tal (57201500462); Shomron, Noam (14020403700)",56619275000; 57201501273; 57201499029; 57201502228; 57201500462; 14020403700,Augmented-Genomics: Protecting privacy for clinical genomics with inferential interfaces,2018,"International Conference on Intelligent User Interfaces, Proceedings IUI",,,a18,,,,0.0,10.1145/3180308.3180326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045143338&doi=10.1145%2f3180308.3180326&partnerID=40&md5=7b32e4b3ffa7ae43b35e09b643829cb8,"Recent advances in genetic technology enable large-scale genome sequencing, creating new avenues for research and clinical care. At the same time, these advances raise growing concerns about data protection and privacy. In this demonstration, we present Augmented-Genomics, a system that puts the individuals in control over their genetic information. To envision user-controllable privacy in the hospital, and in other complex clinical situations, we demonstrate several techniques accessible through a mobile application. The system infers the risk of exposing certain parts of the genome and provide a simple interface for users to set their desired level of exposure. Patients and caregivers (such as doctors) exchange visual keys that are used to decrypt genomic data while indirectly fostering discussion and negotiation over the patient’s privacy. After the patient provides the permission, the caregiver can access information about essential genes and mutations through a mobile interface or through an augmented reality glasses. © 2018 Copyright is held by the owner/author(s).",Genetic data; Mobile applications; Usable privacy,Augmented reality; Clinical research; Genes; Mobile computing; User interfaces; Clinical Genomics; Clinical situations; Genetic data; Genetic information; Genetic technology; Genome sequencing; Mobile applications; Usable privacy; Data privacy,We thank the Safra Center for Ethics and the Checkpoint Research Institute for their support.,,Association for Computing Machinery,ACM SIGAI; ACM SIGCHI,"23rd International Conference on Intelligent User Interfaces, IUI 2018",7 March 2018 through 11 March 2018,Tokyo,135043.0,,978-145035571-1,,,English,Conference paper,Final,,Scopus,2-s2.0-85045143338
Colicchio T.K.; Cimino J.J.; Del Fiol G.,"Colicchio, Tiago K. (57190388983); Cimino, James J. (7006337145); Del Fiol, Guilherme (7801426540)",57190388983; 7006337145; 7801426540,Unintended consequences of nationwide electronic health record adoption: Challenges and opportunities in the post-meaningful use era,2019,Journal of Medical Internet Research,21,6,e13313,,,,97.0,10.2196/13313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067199583&doi=10.2196%2f13313&partnerID=40&md5=1a53c64e420787dac9afbfe3489cd873,"The US health system has recently achieved widespread adoption of electronic health record (EHR) systems, primarily driven by financial incentives provided by the Meaningful Use (MU) program. Although successful in promoting EHR adoption and use, the program, and other contributing factors, also produced important unintended consequences (UCs) with far-reaching implications for the US health system. Based on our own experiences from large health information technology (HIT) adoption projects and a collection of key studies in HIT evaluation, we discuss the most prominent UCs of MU: failed expectations, EHR market saturation, innovation vacuum, physician burnout, and data obfuscation. We identify challenges resulting from these UCs and provide recommendations for future research to empower the broader medical and informatics communities to realize the full potential of a now digitized health system. We believe that fixing these unanticipated effects will demand efforts from diverse players such as health care providers, administrators, HIT vendors, policy makers, informatics researchers, funding agencies, and outside developers; promotion of new business models; collaboration between academic medical centers and informatics research departments; and improved methods for evaluations of HIT. ©Tiago K Colicchio, James J Cimino, Guilherme Del Fiol.",Adoption; Meaningful use; Medical informatics applications,Electronic Health Records; Humans; Meaningful Use; Medical Informatics; United States; administrative personnel; adoption; burnout; funding; health care personnel; human; meaningful use criteria; medical informatics; review; scientist; university hospital; electronic health record; meaningful use criteria; medical informatics; procedures; United States,This work was supported by research funds from the Informatics Institute of the University of Alabama at Birmingham.,"T.K. Colicchio; MBA Informatics Institute, University of Alabama at Birmingham, Birmingham, 1900 University Boulevard, 35294, United States; email: tcolicchio@uabmc.edu",JMIR Publications Inc.,,,,,,14388871,,,31162125.0,English,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85067199583
Hoelscher S.H.; Hoelscher D.,"Hoelscher, Stephanie H. (57217110118); Hoelscher, Dwayne (57219451446)",57217110118; 57219451446,Health information technology and infectious disease: Learning from the past,2018,Pandemics: The Nature of an Emerging Global Threat,,,,259,290,31.0,0.0,10.4324/9781315170220-18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139744137&doi=10.4324%2f9781315170220-18&partnerID=40&md5=16a31d3c473d37d608fefb58b32ee8df,[No abstract available],,,,,Taylor and Francis,,,,,,,978-135169127-7; 978-113804830-0,,,English,Book chapter,Final,,Scopus,2-s2.0-85139744137
Hylock R.H.; Zeng X.,"Hylock, Ray Hales (35105107400); Zeng, Xiaoming (40162707700)",35105107400; 40162707700,A blockchain framework for patient-centered health records and exchange (healthChain): Evaluation and proof-of-concept study,2019,Journal of Medical Internet Research,21,8,e13592,,,,105.0,10.2196/13592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071743770&doi=10.2196%2f13592&partnerID=40&md5=c2e03ce450883f41b55513c0eba872d5,"Background: Blockchain has the potential to disrupt the current modes of patient data access, accumulation, contribution, exchange, and control. Using interoperability standards, smart contracts, and cryptographic identities, patients can securely exchange data with providers and regulate access. The resulting comprehensive, longitudinal medical records can significantly improve the cost and quality of patient care for individuals and populations alike. Objective: This work presents HealthChain, a novel patient-centered blockchain framework. The intent is to bolster patient engagement, data curation, and regulated dissemination of accumulated information in a secure, interoperable environment. A mixed-block blockchain is proposed to support immutable logging and redactable patient blocks. Patient data are generated and exchanged through Health Level-7 Fast Healthcare Interoperability Resources, allowing seamless transfer with compliant systems. In addition, patients receive cryptographic identities in the form of public and private key pairs. Public keys are stored in the blockchain and are suitable for securing and verifying transactions. Furthermore, the envisaged system uses proxy re-encryption (PRE) to share information through revocable, smart contracts, ensuring the preservation of privacy and confidentiality. Finally, several PRE improvements are offered to enhance performance and security. Methods: The framework was formulated to address key barriers to blockchain adoption in health care, namely, information security, interoperability, data integrity, identity validation, and scalability. It supports 16 configurations through the manipulation of 4 modes. An open-source, proof-of-concept tool was developed to evaluate the performance of the novel patient block components and system configurations. To demonstrate the utility of the proposed framework and evaluate resource consumption, extensive testing was performed on each of the 16 configurations over a variety of scenarios involving a variable number of existing and imported records. Results: The results indicate several clear high-performing, low-bandwidth configurations, although they are not the strongest cryptographically. Of the strongest models, one's anticipated cumulative record size is shown to influence the selection. Although the most efficient algorithm is ultimately user specific, Advanced Encryption Standard-encrypted data with static keys, incremental server storage, and no additional server-side encryption are the fastest and least bandwidth intensive, whereas proxy re-encrypted data with dynamic keys, incremental server storage, and additional server-side encryption are the best performing of the strongest configurations. Conclusions: Blockchain is a potent and viable technology for patient-centered access to and exchange of health information. By integrating a structured, interoperable design with patient-accumulated and generated data shared through smart contracts into a universally accessible blockchain, HealthChain presents patients and providers with access to consistent and comprehensive medical records. Challenges addressed include data security, interoperability, block storage, and patient-administered data access, with several configurations emerging for further consideration regarding speed and security. © Ray Hales Hylock, Xiaoming Zeng. Originally published in the Journal of Medical Internet Research (http://www.jmir.org),31.08.2019. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on http://www.jmir.org/, as well as this copyright and license information must be included.",Blockchain; Chameleon hashing; Health information exchange; Health information management; HL7 FHIR; Medical records; Patient-centered health; Proxy re-encryption; Redactable blockchain; Smart contracts,Algorithms; Blockchain; Electronic Health Records; Humans; Patient-Centered Care; Proof of Concept Study; adoption; adult; algorithm; article; blockchain; confidentiality; data integrity; Fast Healthcare Interoperability Resources; health level 7; human; medical information system; medical record; patient care; privacy; proof of concept; velocity; algorithm; electronic health record; procedures,,"R.H. Hylock; Department of Health Services and Information Management, College of Allied Health Sciences, East Carolina University, 4340 Health Sciences Building, Greenville, Mail Stop 668, 27858, United States; email: hylockr@ecu.edu",JMIR Publications Inc.,,,,,,14388871,,,31471959.0,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85071743770
Alterovitz G.; Dean D.; Goble C.; Crusoe M.R.; Soiland-Reyes S.; Bell A.; Hayes A.; Suresh A.; Purkayastha A.; King C.H.; Taylor D.; Johanson E.; Thompson E.E.; Donaldson E.; Morizono H.; Tsang H.; Vora J.K.; Goecks J.; Yao J.; Almeida J.S.; Keeney J.; Addepalli K.; Krampis K.; Smith K.M.; Guo L.; Walderhaug M.; Schito M.; Ezewudo M.; Guimera N.; Walsh P.; Kahsay R.; Gottipati S.; Rodwell T.C.; Bloom T.; Lai Y.; Simonyan V.; Mazumder R.,"Alterovitz, Gil (6505925601); Dean, Dennis (57205323578); Goble, Carole (7004072716); Crusoe, Michael R. (57200149783); Soiland-Reyes, Stian (24774024500); Bell, Amanda (57205324928); Hayes, Anais (57205322099); Suresh, Anita (57203171912); Purkayastha, Anjan (6603856039); King, Charles H. (57205317784); Taylor, Dan (57205321258); Johanson, Elaine (57190297916); Thompson, Elaine E. (56660253900); Donaldson, Eric (8324050300); Morizono, Hiroki (6603376710); Tsang, Hsinyi (55933318000); Vora, Jeet K. (57203239104); Goecks, Jeremy (57195357130); Yao, Jianchao (57205317817); Almeida, Jonas S. (7203053525); Keeney, Jonathon (57205325586); Addepalli, KanakaDurga (57195770022); Krampis, Konstantinos (8256752500); Smith, Krista M. (56701004800); Guo, Lydia (57205324767); Walderhaug, Mark (6602355705); Schito, Marco (6602191989); Ezewudo, Matthew (55599945300); Guimera, Nuria (35812052000); Walsh, Paul (55842012800); Kahsay, Robel (8610690100); Gottipati, Srikanth (54884260900); Rodwell, Timothy C. (6603200869); Bloom, Toby (9234530200); Lai, Yuching (57205323624); Simonyan, Vahan (36800983600); Mazumder, Raja (7005832714)",6505925601; 57205323578; 7004072716; 57200149783; 24774024500; 57205324928; 57205322099; 57203171912; 6603856039; 57205317784; 57205321258; 57190297916; 56660253900; 8324050300; 6603376710; 55933318000; 57203239104; 57195357130; 57205317817; 7203053525; 57205325586; 57195770022; 8256752500; 56701004800; 57205324767; 6602355705; 6602191989; 55599945300; 35812052000; 55842012800; 8610690100; 54884260900; 6603200869; 9234530200; 57205323624; 36800983600; 7005832714,"Enabling precision medicine via standard communication of HTS provenance, analysis, and results",2018,PLoS Biology,16,12,e3000099,,,,20.0,10.1371/journal.pbio.3000099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059522295&doi=10.1371%2fjournal.pbio.3000099&partnerID=40&md5=4d6291d0ae08cbec0ae00ef5a2f5e355,"A personalized approach based on a patient's or pathogen’s unique genomic sequence is the foundation of precision medicine. Genomic findings must be robust and reproducible, and experimental data capture should adhere to findable, accessible, interoperable, and reusable (FAIR) guiding principles. Moreover, effective precision medicine requires standardized reporting that extends beyond wet-lab procedures to computational methods. The BioCompute framework (https://w3id.org/biocompute/1.3.0) enables standardized reporting of genomic sequence data provenance, including provenance domain, usability domain, execution domain, verification kit, and error domain. This framework facilitates communication and promotes interoperability. Bioinformatics computation instances that employ the BioCompute framework are easily relayed, repeated if needed, and compared by scientists, regulators, test developers, and clinicians. Easing the burden of performing the aforementioned tasks greatly extends the range of practical application. Large clinical trials, precision medicine, and regulatory submissions require a set of agreed upon standards that ensures efficient communication and documentation of genomic analyses. The BioCompute paradigm and the resulting BioCompute Objects (BCOs) offer that standard and are freely accessible as a GitHub organization (https://github.com/biocompute-objects) following the “Open-Stand.org principles for collaborative open standards development.” With high-throughput sequencing (HTS) studies communicated using a BCO, regulatory agencies (e.g., Food and Drug Administration [FDA]), diagnostic test developers, researchers, and clinicians can expand collaboration to drive innovation in precision medicine, potentially decreasing the time and cost associated with next-generation sequencing workflow exchange, reporting, and regulatory reviews. © 2018, Public Library of Science. All rights reserved. https://creativecommons.org/publicdomain/zero/1.0/.",,"Animals; Communication; Computational Biology; Genome; Genomics; High-Throughput Nucleotide Sequencing; Humans; Precision Medicine; Reproducibility of Results; Sequence Analysis, DNA; Software; Workflow; Article; bioinformatics; conceptual framework; cost effectiveness analysis; disease burden; gene control; genetic organization; genetic variation; high throughput sequencing; human; information processing; next generation sequencing; personalized medicine; stakeholder engagement; tuberculosis; workflow; animal; biology; DNA sequence; genome; genomics; high throughput sequencing; interpersonal communication; personalized medicine; procedures; reproducibility; software; standards; trends",,"R. Mazumder; The Department of Biochemistry & Molecular Medicine, The George Washington University Medical Center, Washington, United States; email: mazumder@gwu.edu",Public Library of Science,,,,,,15449173,,PBLIB,30596645.0,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85059522295
