,id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access,Included,Reason,Fulltext screening,further excluded,Full-text screening
105,105,Warner J.L.; Smith J.; Wright A.,It’s time to Wikify clinical documentation: How collaborative authorship can reduce the burden and improve the quality of the electronic health record,2019,Academic Medicine,7,10.1097/ACM.0000000000002613,"Electronic health records (EHRs) have become ubiquitous tools and represent the standard of care for 96% of hospitals and 86% of ambulatory physicians in the United States. With adoption of EHRs came the promise of improved efficiency, higher-quality care, and lower costs. Unfortunately, some clinicians are now spending twice as much time on documentation as they spend seeing patients, and the documentation paradigm of problem-oriented medical records is contributing to this imbalance. It is time to consider new innovations. The collaborative wiki format offers many opportunities to ease the burden of documentation as well as to increase the usefulness of the recorded clinical data. Wikis support multiple authorship, have built-in features to track edits and changes, allow for contextual linkages (e.g., linking medical problems to their treatment), and support new technologies such as application programming interfaces, which allow for safe and secure exchange of information. In this Perspective, the authors describe the rationale for considering this approach to clinical documentation and propose a pilot to learn about its effectiveness. They believe wiki-based documentation will become increasingly attractive, especially as new legislation and directives from policymakers seek to reduce the crushing documentation burden and as the U.S. health care system transitions from an episode-based payment structure to a value-based, outcomes-focused system. Copyright © 2019 by the Association of American Medical Colleges",,Authorship; Electronic Health Records; Guidelines as Topic; Humans; Intersectoral Collaboration; Quality Improvement; United States; electronic health record; human; intersectoral collaboration; practice guideline; total quality management; United States; writing,Lippincott Williams and Wilkins,,,,Review,Final,All Open Access; Bronze Open Access,,,,,
106,106,Clay I.; Angelopoulos C.; Bailey A.L.; Blocker A.; Carini S.; Carvajal R.; Drummond D.; McManus K.F.; Oakley-Girvan I.; Patel K.B.; Szepietowski P.; Goldsack J.C.,"Sensor data integration:a new cross-industry collaboration to articulate value, define needs, and advance a framework for best practices",2021,Journal of Medical Internet Research,7,10.2196/34493,"Data integration, the processes by which data are aggregated, combined, and made available for use, has been key to the development and growth of many technological solutions. In health care, we are experiencing a revolution in the use of sensors to collect data on patient behaviors and experiences. Yet, the potential of this data to transform health outcomes is being held back. Deficits in standards, lexicons, data rights, permissioning, and security have been well documented, less so the cultural adoption of sensor data integration as a priority for large-scale deployment and impact on patient lives. The use and reuse of trustworthy data to make better and faster decisions across drug development and care delivery will require an understanding of all stakeholder needs and best practices to ensure these needs are met. The Digital Medicine Society is launching a new multistakeholder Sensor Data Integration Tour of Duty to address these challenges and more, providing a clear direction on how sensor data can fulfill its potential to enhance patient lives. © 2021 Journal of Medical Internet Research. All rights reserved.",Data integration; Digital measures; Patient centricity; Utility,Humans; Technology; access to information; clinical outcome; data integration; drug development; futurology; health care; health care delivery; human; learning health system; metadata; research; Review; standard; trust; technology,JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access; Green Open Access,,,,,
107,107,Kataria S.; Ravindran V.,Harnessing of real-world data and real-world evidence using digital tools: Utility and potential models in rheumatology practice,2022,Rheumatology (United Kingdom),7,10.1093/rheumatology/keab674,"The diversity of diseases in rheumatology and variability in disease prevalence necessitates greater data parity in disease presentation, treatment responses including adverse events to drugs and various comorbidities. Randomized controlled trials are the gold standard for drug development and performance evaluation. However, when the drug is applied outside the controlled environment, the outcomes may differ in patient populations. In this context, the need to understand the macro and micro changes involved in disease evolution and progression becomes important and so is the need for harvesting and harnessing the real-world data from various resources to use them in generating real-world evidence. Digital tools with potential relevance to rheumatology can potentially be leveraged to obtain greater patient insights, greater information on disease progression and disease micro processes and even in the early diagnosis of diseases. Since the patients spend only a minuscule portion of their time in hospital or in a clinic, using modern digital tools to generate realistic, bias-proof, real-world data in a non-invasive patient-friendly manner becomes critical. In this review we have appraised different digital mediums and mechanisms for collecting real-world data and proposed digital care models for generating real-world evidence in rheumatology. © 2021 The Author(s). Published by Oxford University Press on behalf of the British Society for Rheumatology. All rights reserved.",artificial intelligence; big data; data analytics; electronic health records; machine learning,"Artificial Intelligence; Big Data; Humans; Monitoring, Physiologic; Rheumatic Diseases; access to information; data processing; data quality; data science; digital technology; health care quality; human; monitoring; real world data; remote sensing; Review; rheumatology; standardization; artificial intelligence; physiologic monitoring; rheumatic disease",Oxford University Press,,,,Review,Final,,,,,,
108,108,Baron J.M.; Kurant D.E.; Dighe A.S.,Machine Learning and Other Emerging Decision Support Tools,2019,Clinics in Laboratory Medicine,8,10.1016/j.cll.2019.01.010,"Emerging applications of machine learning and artificial intelligence offer the opportunity to discover new clinical knowledge through secondary exploration of existing patient medical records. This new knowledge may in turn offer a foundation to build new types of clinical decision support (CDS) that provide patient-specific insights and guidance across a wide range of clinical questions and settings. This article will provide an overview of these emerging approaches to CDS, discussing both existing technologies as well as challenges that health systems and informaticists will need to address to allow these emerging approaches to reach their full potential. © 2019 Elsevier Inc.",Artificial intelligence; Clinical decision support; Computational pathology; Knowledge discovery; Machine learning,"Clinical Laboratory Information Systems; Decision Support Systems, Clinical; Humans; Machine Learning; adult; artificial intelligence; decision support system; human; knowledge discovery; medical record; review; clinical decision support system; laboratory information system; machine learning; organization and management",W.B. Saunders,,,,Review,Final,,,,,,
109,109,Singhal P.; Tan A.L.M.; Drivas T.G.; Johnson K.B.; Ritchie M.D.; Beaulieu-Jones B.K.,Opportunities and challenges for biomarker discovery using electronic health record data,2023,Trends in Molecular Medicine,8,10.1016/j.molmed.2023.06.006,"Electronic health records (EHRs) have become increasingly relied upon as a source for biomedical research. One important research application of EHRs is the identification of biomarkers associated with specific patient states, especially within complex conditions. However, using EHRs for biomarker identification can be challenging because the EHR was not designed with research as the primary focus. Despite this challenge, the EHR offers huge potential for biomarker discovery research to transform our understanding of disease etiology and treatment and generate biological insights informing precision medicine initiatives. This review paper provides an in-depth analysis of how EHR data is currently used for phenotyping and identifying molecular biomarkers, current challenges and limitations, and strategies we can take to mitigate challenges going forward. © 2023 Elsevier Ltd",biomarker discovery; electronic health records; phenotyping; precision medicine,Biomarkers; Biomedical Research; Electronic Health Records; Humans; Precision Medicine; biological marker; biological marker; diagnostic imaging; digital imaging; electronic health record; human; medical research; Review; selection bias; medical research; personalized medicine,Elsevier Ltd,,,,Review,Final,All Open Access; Bronze Open Access,,,,,
110,110,Balch J.A.; Ruppert M.M.; Loftus T.J.; Guan Z.; Ren Y.; Upchurch G.R.; Ozrazgat-Baslanti T.; Rashidi P.; Bihorac A.,Machine Learning–Enabled Clinical Information Systems Using Fast Healthcare Interoperability Resources Data Standards: Scoping Review,2023,JMIR Medical Informatics,8,10.2196/48297,"Background: Machine learning–enabled clinical information systems (ML-CISs) have the potential to drive health care delivery and research. The Fast Healthcare Interoperability Resources (FHIR) data standard has been increasingly applied in developing these systems. However, methods for applying FHIR to ML-CISs are variable. Objective: This study evaluates and compares the functionalities, strengths, and weaknesses of existing systems and proposes guidelines for optimizing future work with ML-CISs. Methods: Embase, PubMed, and Web of Science were searched for articles describing machine learning systems that were used for clinical data analytics or decision support in compliance with FHIR standards. Information regarding each system’s functionality, data sources, formats, security, performance, resource requirements, scalability, strengths, and limitations was compared across systems. Results: A total of 39 articles describing FHIR-based ML-CISs were divided into the following three categories according to their primary focus: clinical decision support systems (n=18), data management and analytic platforms (n=10), or auxiliary modules and application programming interfaces (n=11). Model strengths included novel use of cloud systems, Bayesian networks, visualization strategies, and techniques for translating unstructured or free-text data to FHIR frameworks. Many intelligent systems lacked electronic health record interoperability and externally validated evidence of clinical efficacy. Conclusions: Shortcomings in current ML-CISs can be addressed by incorporating modular and interoperable data management, analytic platforms, secure interinstitutional data exchange, and application programming interfaces with adequate scalability to support both real-time and prospective clinical applications that use electronic health record platforms with diverse implementations. © 2023 The Author(s).",clinical decision support system; clinical informatics; decision support; Fast Healthcare Interoperability Resources; FHIR; information systems; interoperability; interoperable; machine learning; ontologies; ontology; review methodology; review methods; scoping review,,JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access; Green Open Access,,,,,
111,111,Barbalho I.M.P.; Fernandes F.; Barros D.M.S.; Paiva J.C.; Henriques J.; Morais A.H.F.; Coutinho K.D.; Coelho Neto G.C.; Chioro A.; Valentim R.A.M.,Electronic health records in Brazil: Prospects and technological challenges,2022,Frontiers in Public Health,9,10.3389/fpubh.2022.963841,"Electronic Health Records (EHR) are critical tools for advancing digital health worldwide. In Brazil, EHR development must follow specific standards, laws, and guidelines that contribute to implementing beneficial resources for population health monitoring. This paper presents an audit of the main approaches used for EHR development in Brazil, thus highlighting prospects, challenges, and existing gaps in the field. We applied a systematic review protocol to search for articles published from 2011 to 2021 in seven databases (Science Direct, Web of Science, PubMed, Springer, IEEE Xplore, ACM Digital Library, and SciELO). Subsequently, we analyzed 14 articles that met the inclusion and quality criteria and answered our research questions. According to this analysis, 78.58% (11) of the articles state that interoperability between systems is essential for improving patient care. Moreover, many resources are being designed and deployed to achieve this communication between EHRs and other healthcare systems in the Brazilian landscape. Besides interoperability, the articles report other considerable elements: (i) the need for increased security with the deployment of permission resources for viewing patient data, (ii) the absence of accurate data for testing EHRs, and (iii) the relevance of defining a methodology for EHR development. Our review provides an overview of EHR development in Brazil and discusses current gaps, innovative approaches, and technological solutions that could potentially address the related challenges. Lastly, our study also addresses primary elements that could contribute to relevant components of EHR development in the context of Brazil's public health system. Systematic review registration: PROSPERO, identifier CRD42021233219, https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42021233219. Copyright © 2022 Barbalho, Fernandes, Barros, Paiva, Henriques, Morais, Coutinho, Coelho Neto, Chioro and Valentim.",digital health in Brazil; electronic health record; electronic medical record; electronic personal health record; global health; health record; healthcare,,Frontiers Media S.A.,,,,Review,Final,All Open Access; Gold Open Access,,,,,
112,112,Dahlweid F.-M.; Kämpf M.; Leichtle A.,Interoperability of laboratory data in Switzerland - A spotlight on Bern,2018,Journal of Laboratory Medicine,10,10.1515/labmed-2018-0072,"Laboratory data is a treasure chest for personalized medicine: it is - in general - electronically available, highly structured, quality controlled and indicative for many diseases. However, it is also a box with (probably more than) seven locks: laboratories use their own internal coding systems, results are reported in different languages (four official languages plus English with very distinct features in Switzerland), report formats are not uniform, standard nomenclature (e.g. Logical Observation Identifiers Names and Codes [LOINC]) is not routinely used and even these coding systems lack important information, including data, for example, about the specific ""kit""used for testing or preanalytical procedures affecting the sample quality and result interpretability. Visualization of complex laboratory and reporting ""-omics""data are additional challenges. Currently, there is no ""passepartout""key for all these locks available, and also newer concepts such as Fast Health Interoperability Resources (FHIR) might not provide enough plasticity to unconditionally render laboratory data interoperable. In this short overview, we present current approaches in Switzerland with a specific focus on the exemplary Bernese implementations.  © 2018 Alexander Leichtle et al., published by De Gruyter, Berlin/Boston 2018.",clinical data warehouse; data exchange; laboratory data; Logical Observation Identifiers Names and Codes (LOINC); Switzerland,,Walter de Gruyter GmbH,,,,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,,,,,
113,113,Chen W.; Howard K.; Gorham G.; O'bryan C.M.; Coffey P.; Balasubramanya B.; Abeyaratne A.; Cass A.,"Design, effectiveness, and economic outcomes of contemporary chronic disease clinical decision support systems: a systematic review and meta-analysis",2022,Journal of the American Medical Informatics Association,11,10.1093/jamia/ocac110,"Objectives: Electronic health record-based clinical decision support (CDS) has the potential to improve health outcomes. This systematic review investigates the design, effectiveness, and economic outcomes of CDS targeting several common chronic diseases. Material and Methods: We conducted a search in PubMed (Medline), EBSCOHOST (CINAHL, APA PsychInfo, EconLit), and Web of Science. We limited the search to studies from 2011 to 2021. Studies were included if the CDS was electronic health record-based and targeted one or more of the following chronic diseases: cardiovascular disease, diabetes, chronic kidney disease, hypertension, and hypercholesterolemia. Studies with effectiveness or economic outcomes were considered for inclusion, and a meta-analysis was conducted. Results: The review included 76 studies with effectiveness outcomes and 9 with economic outcomes. Of the effectiveness studies, 63% described a positive outcome that favored the CDS intervention group. However, meta-analysis demonstrated that effect sizes were heterogenous and small, with limited clinical and statistical significance. Of the economic studies, most full economic evaluations (n = 5) used a modeled analysis approach. Cost-effectiveness of CDS varied widely between studies, with an estimated incremental cost-effectiveness ratio ranging between USD$2192 to USD$151 955 per QALY. Conclusion: We summarize contemporary chronic disease CDS designs and evaluation results. The effectiveness and cost-effectiveness results for CDS interventions are highly heterogeneous, likely due to differences in implementation context and evaluation methodology. Improved quality of reporting, particularly from modeled economic evaluations, would assist decision makers to better interpret and utilize results from these primary research studies. Registration: PROSPERO (CRD42020203716)  © 2022 The Author(s). Published by Oxford University Press on behalf of the American Medical Informatics Association.",chronic disease; clinical decision support systems; economic evaluation; meta-analysis; systematic review,"Chronic Disease; Cost-Benefit Analysis; Decision Support Systems, Clinical; Humans; hemoglobin A1c; low density lipoprotein cholesterol; atrial fibrillation; cardiovascular disease; cardiovascular risk factor; chronic disease; chronic kidney failure; Cinahl; clinical decision support system; clinical outcome; controlled study; cost control; cost effectiveness analysis; diabetes mellitus; economic evaluation; electronic health record; health care cost; hospitalization cost; human; hypercholesterolemia; hypertension; Medline; meta analysis; multiple chronic conditions; prescription; process design; program effectiveness; PsycINFO; quality adjusted life year; Review; systematic review; systolic blood pressure; vascular disease; Web of Science; chronic disease; cost benefit analysis",Oxford University Press,,,,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,,,,,
114,114,Vidgen M.E.; Williamson D.; Cutler K.; McCafferty C.; Ward R.L.; McNeil K.; Waddell N.; Bunker D.,Queensland Genomics: an adaptive approach for integrating genomics into a public healthcare system,2021,npj Genomic Medicine,12,10.1038/s41525-021-00234-4,"The establishment of genomics in health care systems has been occurring for the past decade. It is recognised that implementing genomics within a health service is challenging without a system-wide approach. Globally, as clinical genomics implementation programs have matured there is a growing body of information around program design and outcomes. Program structures vary depending on local ecosystems including the health system, politics and funding availability, however, lessons from other programs are important to the design of programs in different jurisdictions. Here we describe an adaptive approach to the implementation of genomics into a publicly funded health care system servicing a population of 5.1 million people. The adaptive approach enabled flexibility to facilitate substantial changes during the program in response to learnings and external factors. We report the benefits and challenges experienced by the program, particularly in relation to the engagement of people and services, and the design of both individual projects and the program as a whole. © 2021, The Author(s).",,ecosystem; funding; genomics; health care system; human; learning; politics; Queensland; review,Nature Research,,,,Review,Final,All Open Access; Gold Open Access; Green Open Access,,,,,
115,115,Yogesh M.J.; Karthikeyan J.,Health Informatics: Engaging Modern Healthcare Units: A Brief Overview,2022,Frontiers in Public Health,12,10.3389/fpubh.2022.854688,"In the current scenario, with a large amount of unstructured data, Health Informatics is gaining traction, allowing Healthcare Units to leverage and make meaningful insights for doctors and decision-makers with relevant information to scale operations and predict the future view of treatments via Information Systems Communication. Now, around the world, massive amounts of data are being collected and analyzed for better patient diagnosis and treatment, improving public health systems and assisting government agencies in designing and implementing public health policies, instilling confidence in future generations who want to use better public health systems. This article provides an overview of the HL7 FHIR Architecture, including the workflow state, linkages, and various informatics approaches used in healthcare units. The article discusses future trends and directions in Health Informatics for successful application to provide public health safety. With the advancement of technology, healthcare units face new issues that must be addressed with appropriate adoption policies and standards. Copyright © 2022 Yogesh and Karthikeyan.",health informatics; health policy; information systems; public health; public health systems,Communication; Delivery of Health Care; Humans; Medical Informatics; health care delivery; human; interpersonal communication; medical informatics,Frontiers Media S.A.,,,,Review,Final,All Open Access; Gold Open Access; Green Open Access,,,,,
116,116,Tran D.M.; Thwaites C.L.; Nuil J.I.V.; McKnight J.; Luu A.P.; Paton C.; Ho C.Q.; Du D.H.; Nguyen D.T.P.; Nguyen G.T.; Ho H.B.; van Ho H.; Trinh H.M.; Nguyen H.Q.; Phan K.N.Q.; van Le K.D.; Dang K.T.; Phung L.K.; Pham L.T.; Nguyen N.T.; Phung N.T.H.; Le P.T.; Nguyen Q.T.H.; Le Nguyen T.T.; Doan T.B.X.; Huynh T.T.; Dong T.H.K.; Hoang V.M.T.; Ninh V.T.T.; Nguyen V.L.; Lam Y.M.; Ahmed S.; Donovan J.; Geskus R.; Kestelyn E.; McBride A.; Thwaites G.; Turner H.; Yacoub S.; Cao T.T.; Duong T.B.; Ha D.T.H.; Ha N.D.T.; Le C.B.; Le T.N.M.; Le T.T.M.; Luong T.T.H.; Nguyen P.H.; Nguyen V.Q.; Nguyen N.T.; Nguyen P.T.; Nguyen A.T.K.; Nguyen H.V.; Thanh Nguyen D.V.; Vinh Nguyen C.V.; Pham O.K.N.; Phan V.T.H.; Phan Q.T.; Phan T.V.; Truong T.T.P.; Clifton D.; English M.; Ghiasi S.; Greeff H.; Hagenah J.; Lu P.; Zhu T.; Georgiou P.; Perez B.H.; Hill-Cawthorne K.; Holmes A.; Karolcik S.; Ming D.; Moser N.; Manzano J.R.; Gomez A.; Kerdegari H.; Modat M.; Razavi R.; Dutt A.G.; Karlen W.; Verling M.; Wicki E.; Denehy L.; Rollinson T.,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,2022,Journal of Medical Internet Research,12,10.2196/32392,"Background: There are a host of emergent technologies with the potential to improve hospital care in low- and middle-income countries such as Vietnam. Wearable monitors and artificial intelligence–based decision support systems could be integrated with hospital-based digital health systems such as electronic health records (EHRs) to provide higher level care at a relatively low cost. However, the appropriate and sustainable application of these innovations in low- and middle-income countries requires an understanding of the local government’s requirements and regulations such as technology specifications, cybersecurity, data-sharing protocols, and interoperability. Objective: This scoping review aims to explore the current state of digital health research and the policies that govern the adoption of digital health systems in Vietnamese hospitals. Methods: We conducted a scoping review using a modification of the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews) guidelines. PubMed and Web of Science were searched for academic publications, and Th Vi n Pháp Lu t, a proprietary database of Vietnamese government documents, and the Vietnam Electronic Health Administration website were searched for government documents. Google Scholar and Google Search were used for snowballing searches. The sources were assessed against predefined eligibility criteria through title, abstract, and full-text screening. Relevant information from the included sources was charted and summarized. The review process was primarily undertaken by one researcher and reviewed by another researcher during each step. Results: In total, 11 academic publications and 20 government documents were included in this review. Among the academic studies, 5 reported engineering solutions for information systems in hospitals, 2 assessed readiness for EHR implementation, 1 tested physicians’ performance before and after using clinical decision support software, 1 reported a national laboratory information management system, and 2 reviewed the health system’s capability to implement eHealth and artificial intelligence. Of the 20 government documents, 19 were promulgated from 2013 to 2020. These regulations and guidance cover a wide range of digital health domains, including hospital information management systems, general and interoperability standards, cybersecurity in health organizations, conditions for the provision of health information technology (HIT), electronic health insurance claims, laboratory information systems, HIT maturity, digital health strategies, electronic medical records, EHRs, and eHealth architectural frameworks. Conclusions: Research about hospital-based digital health systems in Vietnam is very limited, particularly implementation studies. Government regulations and guidance for HIT in health care organizations have been released with increasing frequency since 2013, targeting a variety of information systems such as electronic medical records, EHRs, and laboratory information systems. In general, these policies were focused on the basic specifications and standards that digital health systems need to meet. More research is needed in the future to guide the implementation of digital health care systems in the Vietnam hospital setting. ©Duc Minh Tran, C Louise Thwaites, Jennifer Ilo Van Nuil, Jacob McKnight, An Phuoc Luu, Chris Paton",Administrative information; Compulsory; Data; Digital health; EHealth; Electronic medical records; Health; Health insurance ID; Hospital care; Mobile phone; Patient ID; Policy; Standards; Vietnam,"Artificial Intelligence; Decision Support Systems, Clinical; Health Policy; Hospitals; Humans; Vietnam; artificial intelligence; computer security; decision support system; digital technology; electronic health record; electronic medical record; eligibility criteria; government regulation; health care organization; health care policy; health care system; health insurance; health program; hospital care; hospital information system; medical informatics; medical information system; medical research; Medline; physician; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; Review; search engine; telehealth; Viet Nam; Web of Science; artificial intelligence; clinical decision support system; health care policy; hospital; human; Viet Nam",JMIR Publications Inc.,,,,Review,Final,All Open Access; Gold Open Access,,,,,
117,117,"Hughes A.E.O.; Jackups R., Jr.",Clinical Decision Support for Laboratory Testing,2022,Clinical Chemistry,12,10.1093/clinchem/hvab201,"BACKGROUND: As technology enables new and increasingly complex laboratory tests, test utilization presents a growing challenge for healthcare systems. Clinical decision support (CDS) refers to digital tools that present providers with clinically relevant information and recommendations, which have been shown to improve test utilization. Nevertheless, individual CDS applications often fail, and implementation remains challenging. CONTENT: We review common classes of CDS tools grounded in examples from the literature as well as our own institutional experience. In addition, we present a practical framework and specific recommendations for effective CDS implementation. SUMMARY: CDS encompasses a rich set of tools that have the potential to drive significant improvements in laboratory testing, especially with respect to test utilization. Deploying CDS effectively requires thoughtful design and careful maintenance, and structured processes focused on quality improvement and change management play an important role in achieving these goals. © American Association for Clinical Chemistry 2021. All rights reserved.",,"Decision Support Systems, Clinical; Delivery of Health Care; Humans; Palliative Care; change management; decision support system; health care system; laboratory test; review; total quality management; treatment failure; clinical decision support system; health care delivery; human; palliative therapy",Oxford University Press,,,,Review,Final,All Open Access; Bronze Open Access,,,,,
118,118,Isgut M.; Gloster L.; Choi K.; Venugopalan J.; Wang M.D.,Systematic Review of Advanced AI Methods for Improving Healthcare Data Quality in Post COVID-19 Era,2023,IEEE Reviews in Biomedical Engineering,12,10.1109/RBME.2022.3216531,"At the beginning of the COVID-19 pandemic, there was significant hype about the potential impact of artificial intelligence (AI) tools in combatting COVID-19 on diagnosis, prognosis, or surveillance. However, AI tools have not yet been widely successful. One of the key reason is the COVID-19 pandemic has demanded faster real-time development of AI-driven clinical and health support tools, including rapid data collection, algorithm development, validation, and deployment. However, there was not enough time for proper data quality control. Learning from the hard lessons in COVID-19, we summarize the important health data quality challenges during COVID-19 pandemic such as lack of data standardization, missing data, tabulation errors, and noise and artifact. Then we conduct a systematic investigation of computational methods that address these issues, including emerging novel advanced AI data quality control methods that achieve better data quality outcomes and, in some cases, simplify or automate the data cleaning process. We hope this article can assist healthcare community to improve health data quality going forward with novel AI development.  © 2008-2011 IEEE.",artificial intelligence algorithm development; COVID-19 pandemic; data harmonization; Data quality; deep learning; missing data; noise and artifact; quality control; tabular errors,Algorithms; Artificial Intelligence; COVID-19; Data Accuracy; Humans; Pandemics; Cleaning; Data reduction; Deep learning; Diagnosis; Health care; Medical imaging; Quality assurance; Quality control; Systematic errors; Algorithms development; Artificial intelligence algorithm development; Artificial intelligence algorithms; COVID-19 pandemic; Data harmonization; Data integrity; Data quality; Deep learning; Medical diagnostic imaging; Missing data; Noise and artifact; Pandemic; Tabular error; algorithm; artifact; artificial intelligence; cleaning; coronavirus disease 2019; data integrity; data quality; deep learning; diagnostic imaging; health data; human; learning; pandemic; quality control; Review; standardization; measurement accuracy; pandemic; COVID-19,Institute of Electrical and Electronics Engineers Inc.,,,,Review,Final,All Open Access; Hybrid Gold Open Access,,,,,
119,119,Pletcher M.J.; Flaherman V.; Najafi N.; Patel S.; Rushakoff R.J.; Hoffman A.; Robinson A.; Cucina R.J.; McCulloch C.E.; Gonzales R.; Auerbach A.,"Randomized controlled trials of electronic health record interventions: Design, conduct, and reporting considerations",2020,Annals of Internal Medicine,14,10.7326/M19-0877,"Electronic health record (EHR) systems can be configured to deliver novel EHR interventions that influence clinical decision making and to support efficient randomized controlled trials (RCTs) designed to evaluate the effectiveness, safety, and costs of those interventions. In designing RCTs of EHR interventions, one should carefully consider the unit of randomization (for example, patient, encounter, clinician, or clinical unit), balancing concerns about contamination of an intervention across randomization units within clusters (for example, patients within clinical units) against the superior control of measured and unmeasured confounders that comes with randomizing a larger number of units. One should also consider whether the key computational assessment components of the EHR intervention, such as a predictive algorithm used to target a subgroup for decision support, should occur before randomization (so that only 1 subgroup is randomized) or after randomization (including all subgroups). When these components are applied after randomization, one must consider expected heterogeneity in the effect of the differential decision support across subgroups, which has implications for overall impact potential, analytic approach, and sample size planning. Trials of EHR interventions should be reviewed by an institutional review board, but may not require patient-level informed consent when the interventions being tested can be considered minimal risk or quality improvement, and when clinical decision making is supported, rather than controlled, by an EHR intervention. Data and safety monitoring for RCTs of EHR interventions should be conducted to guide institutional pragmatic decision making about implementation and ensure that continuing randomization remains justified. Reporting should follow the CONSORT (Consolidated Standards of Reporting Trials) Statement, with extensions for pragmatic trials and cluster RCTs when applicable, and should include detailed materials to enhance reproducibility. © 2020 American College of Physicians. All rights reserved.",,Electronic Health Records; Humans; Randomized Controlled Trials as Topic; Reproducibility of Results; adult; clinical decision making; comparative effectiveness; confounding variable; contamination; decision support system; drug safety; electronic health record; human; informed consent; institutional review; pragmatic trial; randomization; randomized controlled trial (topic); reproducibility; review; sample size; total quality management; electronic health record; organization and management,American College of Physicians,,,,Review,Final,,,,,,
120,120,Bhardwaj V.; Sharma A.; Parambath S.V.; Gul I.; Zhang X.; Lobie P.E.; Qin P.; Pandey V.,Machine Learning for Endometrial Cancer Prediction and Prognostication,2022,Frontiers in Oncology,14,10.3389/fonc.2022.852746,"Endometrial cancer (EC) is a prevalent uterine cancer that remains a major contributor to cancer-associated morbidity and mortality. EC diagnosed at advanced stages shows a poor therapeutic response. The clinically utilized EC diagnostic approaches are costly, time-consuming, and are not readily available to all patients. The rapid growth in computational biology has enticed substantial research attention from both data scientists and oncologists, leading to the development of rapid and cost-effective computer-aided cancer surveillance systems. Machine learning (ML), a subcategory of artificial intelligence, provides opportunities for drug discovery, early cancer diagnosis, effective treatment, and choice of treatment modalities. The application of ML approaches in EC diagnosis, therapies, and prognosis may be particularly relevant. Considering the significance of customized treatment and the growing trend of using ML approaches in cancer prediction and monitoring, a critical survey of ML utility in EC may provide impetus research in EC and assist oncologists, molecular biologists, biomedical engineers, and bioinformaticians to further collaborative research in EC. In this review, an overview of EC along with risk factors and diagnostic methods is discussed, followed by a comprehensive analysis of the potential ML modalities for prevention, screening, detection, and prognosis of EC patients. Copyright © 2022 Bhardwaj, Sharma, Parambath, Gul, Zhang, Lobie, Qin and Pandey.",algorithm; artificial intelligence; deep learning; endometrial cancer; histopathology; machine learning; prediction model,algorithm; artificial intelligence; artificial neural network; bioinformatics; body mass; cancer epidemiology; cancer mortality; cancer screening; cancer staging; computer assisted tomography; controlled study; deep learning; diagnostic procedure; diagnostic test accuracy study; discriminant analysis; drug development; endometrium cancer; endometrium cell; endometrium cytology; histology; histopathology; human; lymph node dissection; machine learning; morbidity; mortality; nuclear magnetic resonance imaging; overall survival; predictive value; receiver operating characteristic; Review; risk factor; sensitivity and specificity; support vector machine; systematic review; transvaginal echography; tumor invasion; tumor volume,Frontiers Media S.A.,,,,Review,Final,All Open Access; Gold Open Access,,,,,
